File,Num.ofTrades,Num.ofTradesAllowed,+,-,Profit,OptimizedProfit,,
data/abgar/btc/1.csv,44,0,0,0,1870.68,0,r,
data/abgar/btc/2.csv,79,48,13,35,2314.68,1924.01,r,
data/abgar/btc/4.csv,80,0,0,0,1478.02,0,r,
data/abgar/btc/1.csv,44,6,1,5,1870.68,196.6,i,
data/abgar/btc/2.csv,79,10,1,9,2314.68,-139.32,i,
data/abgar/btc/4.csv,80,7,1,6,1478.02,188.83,i,
,,,,,,,,
data/abgar/rts/2.csv,16,4,1,3,17248,-2058,,
data/abgar/rts/3.csv,9,7,2,5,-8368,3716,,
data/abgar/rts/4.csv,21,2,0,2,-4852,-854,,
data/abgar/si/2.csv,15,0,0,0,229,0,,
data/abgar/si/3.csv,10,0,0,0,1800,0,,
data/abgar/si/4.csv,23,0,0,0,-56,0,,
,,,,,,,,
data/ivan/tr_decis_n_0_e_288.csv,125,42,6,36,461.54,601.68,r,
data/ivan/tr_decis_n_0_e_288.csv,125,27,6,21,461.54,578.19,r,
data/ivan/tr_decis_n_0_e_330.csv,135,25,1,24,-369.98,-305.23,r,
data/ivan/tr_decis_n_0_e_369.csv,142,0,0,0,-583.08,0,r,
data/ivan/tr_decis_n_1_e_491.csv,139,13,1,12,1229.16,42.3,r,
data/ivan/tr_decis_n_1_e_497.csv,130,28,4,24,163.7,-186.07,r,
data/ivan/tr_decis_n_2_e_266.csv,84,14,2,12,1959.84,2170.9,r,
data/ivan/tr_decis_n_0_e_288.csv,125,16,2,14,461.54,-773.91,i,
data/ivan/tr_decis_n_0_e_330.csv,135,20,4,16,-369.98,368.14,i,
data/ivan/tr_decis_n_0_e_369.csv,142,11,1,10,-583.08,-468.7,i,
data/ivan/tr_decis_n_1_e_491.csv,139,14,1,13,1229.16,159.99,i,
data/ivan/tr_decis_n_1_e_497.csv,130,6,2,4,163.7,-101.07,i,
data/ivan/tr_decis_n_2_e_266.csv,84,12,1,11,1959.84,1723.2,i,
data/ivan/tr_decis_n_2_e_346.csv,85,3,0,3,-1395.4,60.05,r,
data/ivan/tr_decis_n_2_e_393.csv,100,1,0,1,1806.5,23.9,r,
data/ivan/tr_decis_n_3_e_390.csv,156,25,0,25,-290.36,107.37,r,
data/ivan/tr_decis_n_3_e_446.csv,157,12,0,12,-322.42,337.24,r,
data/ivan/tr_decis_n_3_e_487.csv,166,12,0,12,383.04,-53.2,r,
data/ivan/tr_decis_n_2_e_346.csv,85,7,2,5,-1395.4,294.6,i,
data/ivan/tr_decis_n_2_e_393.csv,100,3,0,3,1806.5,-22.9,i,
data/ivan/tr_decis_n_3_e_390.csv,156,10,2,8,-290.36,82.2,i,
data/ivan/tr_decis_n_3_e_446.csv,157,10,1,9,-322.42,-101,i,
data/ivan/tr_decis_n_3_e_487.csv,166,6,1,5,383.04,118.8,i,
,,,,,6546.62,4656.48,,
,,,,,3042.54,1279.35,,i
,,,,,3504.08,3377.13,,r
